date,countryCode,hS10Code,censusUOMId1,censusUOMId2,fasConvertedUOMId,fasNonConvertedUOMId,quantity1,quantity2,value,mes_origen,year
199510,CA,0203192000,47,47,70,70,1240484.0,0.0,2809950.0,10,1995
199510,CA,0203292000,47,47,70,70,1407.0,0.0,3493.0,10,1995
199510,CA,0203294000,47,47,70,70,61956.0,0.0,170058.0,10,1995
199511,CA,0203121000,47,47,70,70,120170.0,0.0,219997.0,11,1995
199511,CA,0203192000,47,47,70,70,1559270.0,0.0,2960264.0,11,1995
199511,CA,0203229000,47,47,70,70,69400.0,0.0,176311.0,11,1995
199511,CA,0203292000,47,47,70,70,37684.0,0.0,94248.0,11,1995
199511,CA,0203294000,47,47,70,70,236935.0,0.0,543193.0,11,1995
199512,CA,0203121000,47,47,70,70,63837.0,0.0,142827.0,12,1995
199512,CA,0203192000,47,47,70,70,1239419.0,0.0,2106668.0,12,1995
199512,CA,0203229000,47,47,70,70,70367.0,0.0,204617.0,12,1995
199512,CA,0203292000,47,47,70,70,33815.0,0.0,87214.0,12,1995
199512,CA,0203294000,47,47,70,70,240963.0,0.0,472382.0,12,1995
199601,CA,0203121000,47,47,70,70,68466.0,0.0,102562.0,1,1996
199601,CA,0203192000,47,47,70,70,1567584.0,0.0,2713710.0,1,1996
199601,CA,0203229000,47,47,70,70,128262.0,0.0,170205.0,1,1996
199601,CA,0203292000,47,47,70,70,58476.0,0.0,218609.0,1,1996
199601,CA,0203294000,47,47,70,70,427532.0,0.0,876666.0,1,1996
199602,CA,0203121000,47,47,70,70,139569.0,0.0,201375.0,2,1996
199602,CA,0203192000,47,47,70,70,1197600.0,0.0,2100355.0,2,1996
199602,CA,0203229000,47,47,70,70,111539.0,0.0,155405.0,2,1996
199602,CA,0203292000,47,47,70,70,22298.0,0.0,75738.0,2,1996
199602,CA,0203294000,47,47,70,70,1003255.0,0.0,1666595.0,2,1996
199603,CA,0203121000,47,47,70,70,93755.0,0.0,154934.0,3,1996
199603,CA,0203192000,47,47,70,70,1384517.0,0.0,2465073.0,3,1996
199603,CA,0203229000,47,47,70,70,57539.0,0.0,84989.0,3,1996
199603,CA,0203292000,47,47,70,70,39281.0,0.0,111591.0,3,1996
199603,CA,0203294000,47,47,70,70,785081.0,0.0,1492930.0,3,1996
199604,CA,0203121000,47,47,70,70,96145.0,0.0,138481.0,4,1996
199604,CA,0203192000,47,47,70,70,1350609.0,0.0,2483546.0,4,1996
199604,CA,0203292000,47,47,70,70,19051.0,0.0,55618.0,4,1996
199604,CA,0203294000,47,47,70,70,949189.0,0.0,1570982.0,4,1996
199605,CA,0203121000,47,47,70,70,128519.0,0.0,201022.0,5,1996
199605,CA,0203192000,47,47,70,70,1259054.0,0.0,2534481.0,5,1996
199605,CA,0203229000,47,47,70,70,19272.0,0.0,31968.0,5,1996
199605,CA,0203292000,47,47,70,70,1697.0,0.0,3948.0,5,1996
199605,CA,0203294000,47,47,70,70,767968.0,0.0,1362754.0,5,1996
199606,CA,0203121000,47,47,70,70,42537.0,0.0,72668.0,6,1996
199606,CA,0203192000,47,47,70,70,1112244.0,0.0,2255485.0,6,1996
199606,CA,0203292000,47,47,70,70,20766.0,0.0,62336.0,6,1996
199606,CA,0203294000,47,47,70,70,333576.0,0.0,721736.0,6,1996
199607,CA,0203121000,47,47,70,70,38330.0,0.0,73380.0,7,1996
199607,CA,0203192000,47,47,70,70,1244427.0,0.0,2996950.0,7,1996
199607,CA,0203229000,47,47,70,70,18143.0,0.0,42998.0,7,1996
199607,CA,0203292000,47,47,70,70,7266.0,0.0,30324.0,7,1996
199607,CA,0203294000,47,47,70,70,674030.0,0.0,1536019.0,7,1996
199608,CA,0203121000,47,47,70,70,48459.0,0.0,101559.0,8,1996
199608,CA,0203192000,47,47,70,70,1146587.0,0.0,2782651.0,8,1996
199608,CA,0203229000,47,47,70,70,89858.0,0.0,201260.0,8,1996
